geneID	geneSymbol	bioType	length	geneInfo	chromosome	start	end
ENSG00000004864.13	SLC25A13	protein_coding	2176.63	solute carrier family 25 member 13	chr7	96120220	96322147
ENSG00000004866.20	ST7	protein_coding	1652.29	suppression of tumorigenicity 7	chr7	116953238	117230176
ENSG00000004897.12	CDC27	protein_coding	1568.03	cell division cycle 27	chr17	47117703	47189422
ENSG00000004939.15	SLC4A1	protein_coding	4358.34	solute carrier family 4 member 1 (Diego blood group)	chr17	44248390	44268141
ENSG00000004948.15	CALCR	protein_coding	2474.86	calcitonin receptor	chr7	93424486	93574730
ENSG00000004961.15	HCCS	protein_coding	1666.77	holocytochrome c synthase	chrX	11111301	11123086
ENSG00000004975.12	DVL2	protein_coding	1466.73	dishevelled segment polarity protein 2	chr17	7225342	7234517
ENSG00000005001.10	PRSS22	protein_coding	834.88	serine protease 22	chr16	2852730	2858170
ENSG00000005007.12	UPF1	protein_coding	3396.01	UPF1 RNA helicase and ATPase	chr19	18831959	18868230
ENSG00000005020.13	SKAP2	protein_coding	1938.38	src kinase associated phosphoprotein 2	chr7	26667068	26995239
ENSG00000005022.6	SLC25A5	protein_coding	1258.58	solute carrier family 25 member 5	chrX	119468422	119471396
ENSG00000005059.16	MCUB	protein_coding	1273.28	mitochondrial calcium uniporter dominant negative subunit beta	chr4	109560209	109688719
ENSG00000005073.5	HOXA11	protein_coding	2137	homeobox A11	chr7	27181157	27185232
ENSG00000005075.15	POLR2J	protein_coding	870.63	RNA polymerase II subunit J	chr7	102473128	102478922
ENSG00000005100.13	DHX33	protein_coding	3575.67	DEAH-box helicase 33	chr17	5440917	5468982
ENSG00000005102.13	MEOX1	protein_coding	1790.25	mesenchyme homeobox 1	chr17	43640389	43661922
ENSG00000005108.16	THSD7A	protein_coding	567	thrombospondin type 1 domain containing 7A	chr7	11370365	11832198
ENSG00000005156.11	LIG3	protein_coding	2641	DNA ligase 3	chr17	34980512	35009743
ENSG00000005175.10	RPAP3	protein_coding	1505.7	RNA polymerase II associated protein 3	chr12	47661249	47706030
ENSG00000005187.12	ACSM3	protein_coding	1727.21	acyl-CoA synthetase medium chain family member 3	chr16	20610243	20797581
ENSG00000005189.19	REXO5	protein_coding	1438.97	RNA exonuclease 5	chr16	20806429	20849665
ENSG00000005194.15	CIAPIN1	protein_coding	1307.84	cytokine induced apoptosis inhibitor 1	chr16	57428187	57447420
ENSG00000005206.17	SPPL2B	protein_coding	1816.68	signal peptide peptidase like 2B	chr19	2328615	2355095
ENSG00000005238.19	FAM214B	protein_coding	2442.06	atos homolog B	chr9	35104112	35116341
ENSG00000005243.10	COPZ2	protein_coding	805.01	COPI coat complex subunit zeta 2	chr17	48026167	48038030
ENSG00000005249.13	PRKAR2B	protein_coding	3689	protein kinase cAMP-dependent type II regulatory subunit beta	chr7	107044705	107161811
ENSG00000005302.18	MSL3	protein_coding	2615.91	MSL complex subunit 3	chrX	11758159	11775772
ENSG00000005339.14	CREBBP	protein_coding	3399.21	CREB binding protein	chr16	3725054	3880713
ENSG00000005379.17	TSPOAP1	protein_coding	4091.86	TSPO associated protein 1	chr17	58301228	58328795
ENSG00000005381.7	MPO	protein_coding	2834.83	myeloperoxidase	chr17	58269855	58280935
ENSG00000005421.8	PON1	protein_coding	1189.25	paraoxonase 1	chr7	95297676	95324532
ENSG00000005436.13	GCFC2	protein_coding	1634.28	GC-rich sequence DNA-binding factor 2	chr2	75652000	75710985
ENSG00000005448.16	WDR54	protein_coding	1028.04	WD repeat domain 54	chr2	74421678	74425755
ENSG00000005469.11	CROT	protein_coding	2503.42	carnitine O-octanoyltransferase	chr7	87345664	87399794
ENSG00000005471.17	ABCB4	protein_coding	858.61	ATP binding cassette subfamily B member 4	chr7	87401696	87480435
ENSG00000005483.21	KMT2E	protein_coding	3538.94	lysine methyltransferase 2E (inactive)	chr7	104940943	105115019
ENSG00000005486.17	RHBDD2	protein_coding	1585.76	rhomboid domain containing 2	chr7	75842602	75888926
ENSG00000005513.10	SOX8	protein_coding	3620	SRY-box transcription factor 8	chr16	981770	986979
ENSG00000005700.15	IBTK	protein_coding	4894.08	inhibitor of Bruton tyrosine kinase	chr6	82169986	82247754
ENSG00000005801.18	ZNF195	protein_coding	2072.94	zinc finger protein 195	chr11	3339261	3379222
ENSG00000005810.18	MYCBP2	protein_coding	7187.99	MYC binding protein 2	chr13	77042474	77327094
ENSG00000005812.11	FBXL3	protein_coding	3258.61	F-box and leucine rich repeat protein 3	chr13	76992598	77027195
ENSG00000005844.17	ITGAL	protein_coding	2519.65	integrin subunit alpha L	chr16	30472658	30523567
ENSG00000005882.11	PDK2	protein_coding	1193.58	pyruvate dehydrogenase kinase 2	chr17	50094737	50112152
ENSG00000005884.18	ITGA3	protein_coding	1132.05	integrin subunit alpha 3	chr17	50055968	50090481
ENSG00000005889.15	ZFX	protein_coding	3478.14	zinc finger protein X-linked	chrX	24149173	24216255
ENSG00000005893.15	LAMP2	protein_coding	2788.09	lysosomal associated membrane protein 2	chrX	120426148	120469365
ENSG00000005961.18	ITGA2B	protein_coding	2211.52	integrin subunit alpha 2b	chr17	44372180	44389649
ENSG00000005981.13	ASB4	protein_coding	1971	ankyrin repeat and SOCS box containing 4	chr7	95478444	95540233
ENSG00000006007.12	GDE1	protein_coding	2488.75	glycerophosphodiester phosphodiesterase 1	chr16	19501693	19522123
ENSG00000006015.17	REX1BD	protein_coding	1040.66	required for excision 1-B domain containing	chr19	18588685	18592337
ENSG00000006016.11	CRLF1	protein_coding	841.6	cytokine receptor like factor 1	chr19	18572220	18607741
ENSG00000006025.12	AC003665.1	protein_coding	2728.46	oxysterol binding protein like 7	chr17	47807372	47821834
ENSG00000006042.12	TMEM98	protein_coding	896	transmembrane protein 98	chr17	32927910	32945106
ENSG00000006047.13	YBX2	protein_coding	1654	Y-box binding protein 2	chr17	7288263	7294639
ENSG00000006059.3	KRT33A	protein_coding	1287	keratin 33A	chr17	41346092	41350828
ENSG00000006062.17	MAP3K14	protein_coding	4296.06	mitogen-activated protein kinase kinase kinase 14	chr17	45263119	45317029
ENSG00000006071.14	ABCC8	protein_coding	3125.44	ATP binding cassette subfamily C member 8	chr11	17392498	17476894
ENSG00000006116.3	CACNG3	protein_coding	3088	calcium voltage-gated channel auxiliary subunit gamma 3	chr16	24256335	24362412
ENSG00000006118.14	TMEM132A	protein_coding	1617.13	transmembrane protein 132A	chr11	60924460	60937159
ENSG00000006125.18	AP2B1	protein_coding	4262.81	adaptor related protein complex 2 subunit beta 1	chr17	35578046	35726413
ENSG00000006128.12	TAC1	protein_coding	835.2	tachykinin precursor 1	chr7	97732084	97740472
ENSG00000006194.10	ZNF263	protein_coding	2100.79	zinc finger protein 263	chr16	3283283	3301401
ENSG00000006210.7	CX3CL1	protein_coding	563	C-X3-C motif chemokine ligand 1	chr16	57372477	57385044
ENSG00000006282.21	SPATA20	protein_coding	1299.96	spermatogenesis associated 20	chr17	50543058	50555852
ENSG00000006283.18	CACNA1G	protein_coding	1478	calcium voltage-gated channel subunit alpha1 G	chr17	50560715	50627474
ENSG00000006327.13	TNFRSF12A	protein_coding	1393.07	TNF receptor superfamily member 12A	chr16	3018445	3022383
ENSG00000006377.11	DLX6	protein_coding	1526	distal-less homeobox 6	chr7	97005553	97011040
ENSG00000006432.15	MAP3K9	protein_coding	7399.17	mitogen-activated protein kinase kinase kinase 9	chr14	70722526	70809534
ENSG00000006451.8	RALA	protein_coding	1612.05	RAS like proto-oncogene A	chr7	39623565	39708120
ENSG00000006453.14	BAIAP2L1	protein_coding	2328.41	BAR/IMD domain containing adaptor protein 2 like 1	chr7	98291650	98401090
ENSG00000006459.11	KDM7A	protein_coding	4137.48	lysine demethylase 7A	chr7	140084746	140176983
ENSG00000006468.14	ETV1	protein_coding	2329.61	ETS variant transcription factor 1	chr7	13891229	13991425
ENSG00000006530.18	AGK	protein_coding	1880.42	acylglycerol kinase	chr7	141551278	141655244
ENSG00000006534.16	ALDH3B1	protein_coding	2873.99	aldehyde dehydrogenase 3 family member B1	chr11	68008578	68029282
ENSG00000006555.11	TTC22	protein_coding	3401	tetratricopeptide repeat domain 22	chr1	54779712	54801323
ENSG00000006576.16	PHTF2	protein_coding	1610.73	putative homeodomain transcription factor 2	chr7	77798773	77957503
ENSG00000006606.8	CCL26	protein_coding	614.5	C-C motif chemokine ligand 26	chr7	75769533	75789896
ENSG00000006607.14	FARP2	protein_coding	1849.01	FERM, ARH/RhoGEF and pleckstrin domain protein 2	chr2	241356285	241494841
ENSG00000006611.16	USH1C	protein_coding	1478	USH1 protein network component harmonin	chr11	17493895	17544416
ENSG00000006625.18	GGCT	protein_coding	1095.53	gamma-glutamylcyclotransferase	chr7	30496621	30504841
ENSG00000006634.8	DBF4	protein_coding	1704.85	DBF4 zinc finger	chr7	87876216	87909553
ENSG00000006638.11	TBXA2R	protein_coding	1814	thromboxane A2 receptor	chr19	3594507	3606875
ENSG00000006652.14	IFRD1	protein_coding	1328.66	interferon related developmental regulator 1	chr7	112422887	112481017
ENSG00000006659.13	LGALS14	protein_coding	613.67	galectin 14	chr19	39704481	39709444
ENSG00000006695.12	COX10	protein_coding	2073.58	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10	chr17	14069490	14231736
ENSG00000006704.10	GTF2IRD1	protein_coding	3503.3	GTF2I repeat domain containing 1	chr7	74453790	74602605
ENSG00000006712.15	PAF1	protein_coding	1244.54	PAF1 homolog, Paf1/RNA polymerase II complex component	chr19	39385629	39391154
ENSG00000006715.16	VPS41	protein_coding	1978.09	VPS41 subunit of HOPS complex	chr7	38722974	38932394
ENSG00000006740.17	ARHGAP44	protein_coding	2264.42	Rho GTPase activating protein 44	chr17	12789498	12991643
ENSG00000006744.19	ELAC2	protein_coding	1512.83	elaC ribonuclease Z 2	chr17	12991612	13018065
ENSG00000006747.15	SCIN	protein_coding	9682	scinderin	chr7	12570577	12660182
ENSG00000006756.16	ARSD	protein_coding	3035.6	arylsulfatase D	chrX	2903972	2929349
ENSG00000006757.12	PNPLA4	protein_coding	899.22	patatin like phospholipase domain containing 4	chrX	7898247	7927739
ENSG00000006788.14	MYH13	protein_coding	5992.33	myosin heavy chain 13	chr17	10300865	10373130
ENSG00000006831.10	ADIPOR2	protein_coding	3079.1	adiponectin receptor 2	chr12	1688574	1788674
ENSG00000006837.12	CDKL3	protein_coding	1164.23	cyclin dependent kinase like 3	chr5	134286350	134371047
ENSG00000007001.12	UPP2	protein_coding	1640.75	uridine phosphorylase 2	chr2	157876702	158136154
ENSG00000007038.11	PRSS21	protein_coding	925.47	serine protease 21	chr16	2817180	2826304
ENSG00000007047.15	MARK4	protein_coding	1414.98	microtubule affinity regulating kinase 4	chr19	45079288	45305284
ENSG00000007062.11	PROM1	protein_coding	1831.93	prominin 1	chr4	15963076	16084378
ENSG00000007080.11	CCDC124	protein_coding	945.56	coiled-coil domain containing 124	chr19	17933015	17943991
ENSG00000007129.18	CEACAM21	protein_coding	582.99	CEA cell adhesion molecule 21	chr19	41549518	41586844
ENSG00000007168.13	PAFAH1B1	protein_coding	1437.11	platelet activating factor acetylhydrolase 1b regulatory subunit 1	chr17	2593210	2685615
ENSG00000007171.17	NOS2	protein_coding	3345	nitric oxide synthase 2	chr17	27756766	27800529
ENSG00000007174.18	DNAH9	protein_coding	2890.27	dynein axonemal heavy chain 9	chr17	11598470	11969748
ENSG00000007202.15	KIAA0100	protein_coding	3116.17	bridge-like lipid transfer protein family member 2	chr17	28614446	28645454
ENSG00000007216.14	SLC13A2	protein_coding	2153.57	solute carrier family 13 member 2	chr17	28473293	28497781
ENSG00000007237.18	AC005747.1	protein_coding	5867.67	growth arrest specific 7	chr17	9910606	10198606
ENSG00000007255.10	TRAPPC6A	protein_coding	707	trafficking protein particle complex subunit 6A	chr19	45162928	45178237
ENSG00000007264.15	MATK	protein_coding	1892.92	megakaryocyte-associated tyrosine kinase	chr19	3777970	3802129
ENSG00000007306.15	CEACAM7	protein_coding	1482.75	CEA cell adhesion molecule 7	chr19	41673303	41706976
ENSG00000007312.12	CD79B	protein_coding	1161.65	CD79b molecule	chr17	63928738	63932336
ENSG00000007314.12	SCN4A	protein_coding	577	sodium voltage-gated channel alpha subunit 4	chr17	63938554	63972918
ENSG00000007341.19	ST7L	protein_coding	1072.73	suppression of tumorigenicity 7 like	chr1	112523514	112620825
ENSG00000007350.17	TKTL1	protein_coding	1902.58	transketolase like 1	chrX	154295795	154330350
ENSG00000007372.23	PAX6	protein_coding	2120.56	paired box 6	chr11	31784779	31817961
ENSG00000007376.8	RPUSD1	protein_coding	1565.52	RNA pseudouridine synthase domain containing 1	chr16	784974	788397
ENSG00000007384.15	RHBDF1	protein_coding	1275.56	rhomboid 5 homolog 1	chr16	58059	76355
ENSG00000007392.16	LUC7L	protein_coding	1856.35	LUC7 like	chr16	188969	229463
ENSG00000007402.11	CACNA2D2	protein_coding	2526	calcium voltage-gated channel auxiliary subunit alpha2delta 2	chr3	50362613	50504244
ENSG00000007516.13	BAIAP3	protein_coding	1267.22	BAI1 associated protein 3	chr16	1333638	1349441
ENSG00000007520.4	TSR3	protein_coding	1063.46	TSR3 ribosome maturation factor	chr16	1349240	1351878
ENSG00000007541.16	PIGQ	protein_coding	2217.02	phosphatidylinositol glycan anchor biosynthesis class Q	chr16	566995	584109
ENSG00000007545.15	CRAMP1	protein_coding	4553.85	cramped chromatin regulator homolog 1	chr16	1612337	1677908
ENSG00000007866.21	TEAD3	protein_coding	2986	TEA domain transcription factor 3	chr6	35473597	35497079
ENSG00000007908.16	SELE	protein_coding	3576	selectin E	chr1	169722640	169764705
ENSG00000007923.16	DNAJC11	protein_coding	2063.35	DnaJ heat shock protein family (Hsp40) member C11	chr1	6634168	6701924
ENSG00000007933.13	FMO3	protein_coding	2059	flavin containing dimethylaniline monoxygenase 3	chr1	171090901	171117819
ENSG00000007944.15	MYLIP	protein_coding	2999.58	myosin regulatory light chain interacting protein	chr6	16129086	16148248
ENSG00000007952.18	NOX1	protein_coding	1610.2	NADPH oxidase 1	chrX	100843324	100874359
ENSG00000007968.7	E2F2	protein_coding	3516.09	E2F transcription factor 2	chr1	23506438	23531233
ENSG00000008018.9	PSMB1	protein_coding	941.49	proteasome 20S subunit beta 1	chr6	170535120	170553307
ENSG00000008056.14	SYN1	protein_coding	1420.46	synapsin I	chrX	47571901	47619857
ENSG00000008083.14	JARID2	protein_coding	5980.58	jumonji and AT-rich interaction domain containing 2	chr6	15246069	15522042
ENSG00000008086.11	CDKL5	protein_coding	6731.04	cyclin dependent kinase like 5	chrX	18425583	18653629
ENSG00000008118.10	CAMK1G	protein_coding	1907.6	calcium/calmodulin dependent protein kinase IG	chr1	209583714	209613939
ENSG00000008128.23	CDK11A	protein_coding	1026	cyclin dependent kinase 11A	chr1	1702379	1724357
ENSG00000008130.15	NADK	protein_coding	1541.54	NAD kinase	chr1	1751232	1780457
ENSG00000008196.13	TFAP2B	protein_coding	2421	transcription factor AP-2 beta	chr6	50818723	50847619
ENSG00000008197.4	TFAP2D	protein_coding	1204	transcription factor AP-2 delta	chr6	50713526	50773033
ENSG00000008226.19	DLEC1	protein_coding	1843.08	DLEC1 cilia and flagella associated protein	chr3	38039205	38124025
ENSG00000008256.16	CYTH3	protein_coding	2473.66	cytohesin 3	chr7	6161776	6272644
ENSG00000008277.14	ADAM22	protein_coding	6022.96	ADAM metallopeptidase domain 22	chr7	87934143	88202889
ENSG00000008282.8	SYPL1	protein_coding	1930.86	synaptophysin like 1	chr7	106090505	106112589
ENSG00000008283.16	CYB561	protein_coding	2388.33	cytochrome b561	chr17	63432304	63446354
ENSG00000008294.21	SPAG9	protein_coding	2095.08	sperm associated antigen 9	chr17	50962174	51120868
ENSG00000008300.17	CELSR3	protein_coding	4750.14	cadherin EGF LAG seven-pass G-type receptor 3	chr3	48636463	48662886
ENSG00000008311.15	AASS	protein_coding	4282.62	aminoadipate-semialdehyde synthase	chr7	122064583	122144308
ENSG00000008323.15	PLEKHG6	protein_coding	1484.44	pleckstrin homology and RhoGEF domain containing G6	chr12	6310436	6328506
ENSG00000008324.11	SS18L2	protein_coding	768.92	SS18 like 2	chr3	42581840	42596934
ENSG00000008382.15	MPND	protein_coding	1483.03	MPN domain containing	chr19	4343527	4360086
ENSG00000008394.13	MGST1	protein_coding	883.56	microsomal glutathione S-transferase 1	chr12	16347142	16609259
ENSG00000008405.12	CRY1	protein_coding	2224.88	cryptochrome circadian regulator 1	chr12	106991364	107093549
ENSG00000008438.5	PGLYRP1	protein_coding	708	peptidoglycan recognition protein 1	chr19	46019153	46023053
ENSG00000008441.16	NFIX	protein_coding	4046.48	nuclear factor I X	chr19	12995475	13098796
ENSG00000008513.16	ST3GAL1	protein_coding	3504.68	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	chr8	133454848	133571940
ENSG00000008516.17	MMP25	protein_coding	3674	matrix metallopeptidase 25	chr16	3046062	3060726
ENSG00000008517.16	IL32	protein_coding	811.05	interleukin 32	chr16	3065297	3082192
ENSG00000008710.19	PKD1	protein_coding	4964.19	polycystin 1, transient receptor potential channel interacting	chr16	2088708	2135898
ENSG00000008735.14	MAPK8IP2	protein_coding	5596	mitogen-activated protein kinase 8 interacting protein 2	chr22	50600793	50613981
ENSG00000008838.20	MED24	protein_coding	1388.53	mediator complex subunit 24	chr17	40019097	40061215
ENSG00000008853.16	RHOBTB2	protein_coding	3695.36	Rho related BTB domain containing 2	chr8	22987417	23020509
ENSG00000008869.12	HEATR5B	protein_coding	5231.56	HEAT repeat containing 5B	chr2	36968383	37084372
ENSG00000008952.17	SEC62	protein_coding	1844.8	SEC62 homolog, preprotein translocation factor	chr3	169966635	169998373
ENSG00000008988.9	RPS20	protein_coding	647.14	ribosomal protein S20	chr8	56067254	56074510
ENSG00000009307.16	CSDE1	protein_coding	3232.37	cold shock domain containing E1	chr1	114716913	114758676
ENSG00000009335.18	UBE3C	protein_coding	2317.66	ubiquitin protein ligase E3C	chr7	157138916	157269370
ENSG00000009413.15	REV3L	protein_coding	3241.28	REV3 like, DNA directed polymerase zeta catalytic subunit	chr6	111299028	111483715
ENSG00000009694.13	TENM1	protein_coding	4835.09	teneurin transmembrane protein 1	chrX	124375903	125204312
ENSG00000009709.12	PAX7	protein_coding	3391	paired box 7	chr1	18630846	18748866
ENSG00000009724.16	MASP2	protein_coding	726	MBL associated serine protease 2	chr1	11022009	11047239
ENSG00000009765.14	IYD	protein_coding	2567.11	iodotyrosine deiodinase	chr6	150368892	150405969
ENSG00000009780.15	FAM76A	protein_coding	2192.97	family with sequence similarity 76 member A	chr1	27725961	27763116
ENSG00000009790.15	TRAF3IP3	protein_coding	1530.4	TRAF3 interacting protein 3	chr1	209756032	209782320
ENSG00000009830.11	POMT2	protein_coding	1897.1	protein O-mannosyltransferase 2	chr14	77274956	77320883
ENSG00000009844.16	VTA1	protein_coding	2049.05	vesicle trafficking 1	chr6	142147162	142224685
ENSG00000009950.16	MLXIPL	protein_coding	2165.45	MLX interacting protein like	chr7	73593194	73624543
ENSG00000009954.11	BAZ1B	protein_coding	4155.56	bromodomain adjacent to zinc finger domain 1B	chr7	73440406	73522293
ENSG00000010017.13	RANBP9	protein_coding	3244.61	RAN binding protein 9	chr6	13621498	13711835
ENSG00000010030.14	ETV7	protein_coding	1434	ETS variant transcription factor 7	chr6	36354091	36387800
ENSG00000010072.16	SPRTN	protein_coding	2006.4	SprT-like N-terminal domain	chr1	231337104	231355023
ENSG00000010165.20	EEF1AKNMT	protein_coding	1617.49	methyltransferase 13, eEF1A lysine and N-terminal methyltransferase	chr1	171781660	171814023
ENSG00000010219.13	DYRK4	protein_coding	746.54	dual specificity tyrosine phosphorylation regulated kinase 4	chr12	4562208	4615302
ENSG00000010244.18	ZNF207	protein_coding	2034.43	zinc finger protein 207	chr17	32350132	32381885
ENSG00000010256.11	UQCRC1	protein_coding	1081.37	ubiquinol-cytochrome c reductase core protein 1	chr3	48599002	48610976
ENSG00000010270.13	STARD3NL	protein_coding	1580.84	STARD3 N-terminal like	chr7	38178245	38230670
ENSG00000010278.14	CD9	protein_coding	1176.33	CD9 molecule	chr12	6199715	6238271
ENSG00000010282.14	HHATL	protein_coding	861.5	hedgehog acyltransferase like	chr3	42692663	42702824
ENSG00000010292.13	NCAPD2	protein_coding	2616.88	non-SMC condensin I complex subunit D2	chr12	6493356	6531955
ENSG00000010295.19	IFFO1	protein_coding	2625.13	intermediate filament family orphan 1	chr12	6538961	6556073
